,num_ex,prompt_name,has_examples,diff_sentence,model,temperature,pearson,std
11,3,global,False,yes,llama_7b,0.3,0.16334205641034333,1.6482919752898717
19,3,global,False,yes,stablelm_tuned_alpha_7b,0.3,-0.04290814756445168,1.3866905251170003
27,3,global,False,yes,vicuna_13b,0.3,0.5722458924451592,0.2867534138088838
35,3,global,False,yes,alpaca_13b,0.3,-0.015278302693668443,1.3201192599497324
39,3,global,False,yes,vicuna_7b_1.1,0.3,0.4324289010896364,0.7914252264632551
47,3,global,False,yes,alpaca_lora_7b,0.3,0.3062011564388621,0.7938522246896881
55,3,global,False,yes,llama_13b,0.3,0.27630592824670464,2.0037697869976743
64,3,global,False,yes,tiiuae/falcon_7b_instruct,0.3,0.19316535829490614,0.6272686110553304
72,3,global,False,yes,tiiuae/falcon_40b_instruct,0.3,0.6122133259039345,0.7748371238014699
80,3,global,False,yes,alpaca_lora_65B_HF,0.3,0.026666208061573216,0.009375
88,3,global,False,yes,mpt_7b_chat,0.3,0.28054483422585724,0.38415831703243536
95,3,global,False,yes,llama_65b,0.3,0.5128470485195884,0.7685856089921601
107,3,global,False,yes,gpt_3.5_turbo,1.5,0.6647135828410821,0.6624532989712675
110,3,global,False,yes,text_davinci_003,1.5,0.6817570553177178,0.7897385955874787
112,3,global,False,yes,gpt_4,1.5,0.7758302897457041,0.535741163979603
6,4,global,True,yes,llama_7b,0.3,0.2834303363692653,1.5947189220452254
18,4,global,True,yes,stablelm_tuned_alpha_7b,0.3,0.06633647138002824,1.8194098721148855
26,4,global,True,yes,vicuna_13b,0.3,0.5817774462350686,0.4279883594115863
34,4,global,True,yes,alpaca_13b,0.3,0.057301100528589194,1.0236376294656508
38,4,global,True,yes,vicuna_7b_1.1,0.3,0.4732834957803692,0.9547322820992578
46,4,global,True,yes,alpaca_lora_7b,0.3,0.3747219707921191,1.2390833408144883
54,4,global,True,yes,llama_13b,0.3,0.520799144919099,1.8234333285219109
63,4,global,True,yes,tiiuae/falcon_7b_instruct,0.3,0.31671603516619395,1.8418783386748654
71,4,global,True,yes,tiiuae/falcon_40b_instruct,0.3,0.665439071489199,0.783934273120915
79,4,global,True,yes,alpaca_lora_65B_HF,0.3,0.6516761380122247,0.7087667393714407
87,4,global,True,yes,mpt_7b_chat,0.3,0.3138701888100614,1.004916335742074
94,4,global,True,yes,llama_65b,0.3,0.6078281064226767,0.9809670728106331
106,4,global,True,yes,gpt_3.5_turbo,1.5,0.7034217131941884,0.5655105637119778
111,4,global,True,yes,text_davinci_003,1.5,0.6780893769300027,0.7362874926190993
114,4,global,True,yes,gpt_4,1.5,0.7934641406124736,0.5283561008167833
0,3,steph,True,yes,llama_7b,0.3,0.1706123972746329,1.21795335908094
7,3,steph,True,yes,vicuna_7b_1.1,0.3,0.3133546204969322,0.7432589146500369
12,3,steph,True,yes,stablelm_tuned_alpha_7b,0.3,0.1568308712624753,1.4268994470265028
20,3,steph,True,yes,vicuna_13b,0.3,0.47311284815896615,0.4118440439249036
28,3,steph,True,yes,alpaca_13b,0.3,0.06128060789228993,1.0389726029489281
40,3,steph,True,yes,alpaca_lora_7b,0.3,0.2916344947416598,0.9924292888604805
48,3,steph,True,yes,llama_13b,0.3,0.3169069338627556,1.2417317569265007
56,3,steph,True,yes,tiiuae/falcon_7b_instruct,0.3,0.2365046721593712,1.6966172180261658
61,3,steph,True,yes,llama_65b,0.3,0.45182180568514474,0.7353582361966788
65,3,steph,True,yes,tiiuae/falcon_40b_instruct,0.3,0.5660071066134018,0.8515559276661234
73,3,steph,True,yes,alpaca_lora_65B_HF,0.3,0.5542875781683593,0.6557242694778715
81,3,steph,True,yes,mpt_7b_chat,0.3,0.331064061903286,0.8138447754797132
96,3,steph,True,yes,text_davinci_003,1.5,0.6365065223984863,0.7967421111901466
100,3,steph,True,yes,gpt_3.5_turbo,1.5,0.6437114793099807,0.5839424996858779
113,3,steph,True,yes,gpt_4,1.5,0.8064727477133318,0.5617858555519465
120,,,,,Human,,,1.024797607389761
