,num_ex,prompt_name,has_examples,diff_sentence,model,temperature,pearson,std
0,3,global,False,yes,stablelm_tuned_alpha_7b,0.3,-0.03852754691447311,1.5621599225100127
11,3,global,False,yes,llama_13b,0.3,-0.014097043984662418,1.850405321894285
14,3,global,False,yes,vicuna_13b,0.3,0.6802135515360713,0.42197917985257766
33,3,global,False,yes,vicuna_7b_1.1,0.3,0.42851120406367615,0.8998647589329147
44,3,global,False,yes,alpaca_13b,0.3,-0.008921341078299894,1.2538655178326987
55,3,global,False,yes,mpt_7b_chat,0.3,0.21855906759939012,0.41565974588729815
66,3,global,False,yes,llama_7b,0.3,0.06486440329766854,1.7679062589399797
71,3,global,False,yes,alpaca_lora_7b,0.3,0.3956420044742254,0.704444895275103
88,3,global,False,yes,tiiuae/falcon_7b_instruct,0.3,0.3080201161214503,0.6764980441219017
99,3,global,False,yes,tiiuae/falcon_40b_instruct,0.3,0.6561192716980188,0.7094536848412646
110,3,global,False,yes,alpaca_lora_65B_HF,0.3,0.6454756085393587,0.766616545301668
111,3,global,False,yes,llama_65b,0.3,0.3954219258077927,0.5414193384873068
135,3,mem_enc,False,yes,text_davinci_003,1.5,-0.01900956071263809,3.9645756238899486
146,3,global,False,yes,gpt_3.5_turbo,1.5,0.7334216951712755,0.6388235383943188
148,3,global,False,yes,text_davinci_003,1.5,0.7199083926938961,0.830565215653928
160,3,global,False,yes,gpt_4,1.5,0.5990627136836084,0.4919904776473102
10,4,global,True,yes,stablelm_tuned_alpha_7b,0.3,-0.12275509314665081,1.7680848906348683
24,4,global,True,yes,vicuna_13b,0.3,0.5753934015732112,0.38201650100191614
32,4,global,True,yes,llama_13b,0.3,0.26326488336292553,1.838072819878361
43,4,global,True,yes,vicuna_7b_1.1,0.3,0.33608135986911164,0.9105837266831713
54,4,global,True,yes,alpaca_13b,0.3,-0.0812083209133594,1.1663595481367204
65,4,global,True,yes,mpt_7b_chat,0.3,0.45464601410750743,1.1150359771783396
77,4,global,True,yes,llama_7b,0.3,0.08570226307951757,1.578024976210176
87,4,global,True,yes,alpaca_lora_7b,0.3,0.4297374528181247,1.3426084470803479
98,4,global,True,yes,tiiuae/falcon_7b_instruct,0.3,0.20337838981057466,1.7730546267508513
109,4,global,True,yes,tiiuae/falcon_40b_instruct,0.3,0.6075011905836825,0.7838728317630809
121,4,global,True,yes,llama_65b,0.3,0.6414780462811124,0.8473298753389759
131,4,global,True,yes,alpaca_lora_65B_HF,0.3,0.6223888255136868,0.6139700609985878
136,4,global,True,yes,text_davinci_003,1.5,0.728644484325686,0.6166514964263234
145,4,global,True,yes,gpt_3.5_turbo,1.5,0.792201396075748,0.5137043993931202
163,4,global,True,yes,gpt_4,1.5,0.7606212375786645,0.475292032700672
4,3,mem_enc,True,yes,stablelm_tuned_alpha_7b,0.3,-0.21059855159442226,1.535081487405067
18,3,mem_enc,True,yes,vicuna_13b,0.3,0.5248010184082067,0.411470132580631
26,3,mem_enc,True,yes,llama_13b,0.3,0.4761163065522041,1.4878037682835301
37,3,mem_enc,True,yes,vicuna_7b_1.1,0.3,0.35914999765855893,0.7285638506024529
48,3,mem_enc,True,yes,alpaca_13b,0.3,-0.021266037920368824,0.8390239873433188
59,3,mem_enc,True,yes,mpt_7b_chat,0.3,0.4319001339207635,0.8986542503585606
70,3,mem_enc,True,yes,llama_7b,0.3,0.3243333515721646,1.5786420804633194
81,3,mem_enc,True,yes,alpaca_lora_7b,0.3,0.4094199571979932,1.1793830572313566
92,3,mem_enc,True,yes,tiiuae/falcon_7b_instruct,0.3,0.35810977717876835,1.8132640488242986
103,3,mem_enc,True,yes,tiiuae/falcon_40b_instruct,0.3,0.6745847169499265,0.8040247258722358
115,3,mem_enc,True,yes,llama_65b,0.3,0.5108404677482319,0.8668089048949271
125,3,mem_enc,True,yes,alpaca_lora_65B_HF,0.3,0.5695646130092559,0.6533732558490157
132,3,mem_enc,True,yes,text_davinci_003,1.5,0.582942367772147,0.6827980562990541
139,3,mem_enc,True,yes,gpt_3.5_turbo,1.5,0.7878180660177092,0.7102240940014032
147,3,steph,True,yes,gpt_3.5_turbo,1.5,0.7646702903196192,0.6545380546928596
151,3,mem_enc,True,yes,text_davinci_003,1.5,0.6288410682952401,0.771119652287104
156,3,mem_enc,True,yes,gpt_3.5_turbo,1.5,0.7187583550388128,0.8292008419188969
162,3,mem_enc,True,yes,gpt_4,1.5,0.7778584221312048,0.5119311292263746
171,,,,,Human,,,1.5137362679502464
