,num_ex,prompt_name,has_examples,diff_sentence,model,temperature,pearson,std
7,3,global,False,yes,stablelm_tuned_alpha_7b,0.3,0.04236269862455139,1.274948390173268
15,3,global,False,yes,alpaca_13b,0.3,-0.024824312677883736,1.1081687090520744
23,3,global,False,yes,mpt_7b_chat,0.3,0.14836640202131424,0.40762302492327895
32,3,global,False,yes,llama_65b,0.3,0.6265604239341133,0.8188998913870847
40,3,global,False,yes,vicuna_13b,0.3,0.6330705928200736,0.350153134117347
55,3,global,False,yes,llama_7b,0.3,0.10516746821991774,1.6113670653329233
56,3,global,False,yes,alpaca_lora_7b,0.3,0.2959881495785848,0.7098452110175864
64,3,global,False,yes,tiiuae/falcon_7b_instruct,0.3,0.161772954384883,0.6763694955208962
72,3,global,False,yes,tiiuae/falcon_40b_instruct,0.3,0.6571345543702303,0.7591345492092312
79,3,global,False,yes,alpaca_lora_65B_HF,0.3,0.672552263670891,0.7449886285465388
87,3,global,False,yes,vicuna_7b_1.1,0.3,0.15212154520844057,0.772235264063372
95,3,global,False,yes,llama_13b,0.3,0.04924438054428225,1.8587440529005528
98,3,sap,False,yes,text_davinci_003,1.5,0.42176154612115035,1.222315697605195
100,3,global,False,yes,gpt_3.5_turbo,1.5,0.6769274512539402,0.7054031467543174
108,3,global,False,yes,text_davinci_003,1.5,0.6340292279136475,0.7836207855395915
114,3,global,False,yes,gpt_4,1.5,0.8616910577923242,0.5407250885373304
6,4,global,True,yes,stablelm_tuned_alpha_7b,0.3,-0.10226168941850626,1.9032462727155475
14,4,global,True,yes,alpaca_13b,0.3,-0.06299731618533763,1.066259654427788
22,4,global,True,yes,mpt_7b_chat,0.3,0.3503636881172348,0.9831855726233613
31,4,global,True,yes,llama_65b,0.3,0.6340640928608725,0.9604592010207718
39,4,global,True,yes,vicuna_13b,0.3,0.612011099963206,0.4364296689421553
52,4,global,True,yes,alpaca_lora_7b,0.3,0.274888190675814,1.2515253881009725
54,4,global,True,yes,llama_7b,0.3,0.19022872999778093,1.6322367304600438
63,4,global,True,yes,tiiuae/falcon_7b_instruct,0.3,0.2073887869846105,1.5540555070850526
71,4,global,True,yes,tiiuae/falcon_40b_instruct,0.3,0.6820026264567219,0.7095990378663141
78,4,global,True,yes,alpaca_lora_65B_HF,0.3,0.6513882150020726,0.65492684590669
86,4,global,True,yes,vicuna_7b_1.1,0.3,0.4957840598695054,0.6394704686368011
94,4,global,True,yes,llama_13b,0.3,0.4642480301206392,1.8685238485640991
107,4,global,True,yes,gpt_3.5_turbo,1.5,0.7941508249173725,0.7971454618756931
113,4,global,True,yes,text_davinci_003,1.5,0.6279898449294974,0.6990247189518504
116,4,global,True,yes,gpt_4,1.5,0.8348911778455439,0.48598484863855945
0,3,sap,True,yes,stablelm_tuned_alpha_7b,0.3,-0.00020166078081366328,1.8153898228346723
8,3,sap,True,yes,alpaca_13b,0.3,-0.004647756248882749,1.0142573732938824
16,3,sap,True,yes,mpt_7b_chat,0.3,0.3954182181239794,0.836764179646257
24,3,sap,True,yes,alpaca_lora_65B_HF,0.3,0.672758190768827,0.6177468218276838
25,3,sap,True,yes,llama_65b,0.3,0.6920732349305445,0.8704529545748625
33,3,sap,True,yes,vicuna_13b,0.3,0.6051050951340003,0.39831432246278037
41,3,sap,True,yes,llama_7b,0.3,0.24765370405169973,1.4967514399866537
46,3,sap,True,yes,alpaca_lora_7b,0.3,0.2992250977477297,1.1169344919658502
57,3,sap,True,yes,tiiuae/falcon_7b_instruct,0.3,0.23798050983582789,1.0018138197235884
65,3,sap,True,yes,tiiuae/falcon_40b_instruct,0.3,0.7458736500839789,0.5861551401066217
80,3,sap,True,yes,vicuna_7b_1.1,0.3,0.47812977652280186,0.678164739874541
88,3,sap,True,yes,llama_13b,0.3,0.515823058401063,1.5674137753948068
96,3,sap,True,yes,text_davinci_003,1.5,0.7133371922711982,0.6484093059106754
99,3,tal,True,yes,gpt_3.5_turbo,1.5,0.6264688501789647,0.6705395822778494
101,3,sap,True,yes,gpt_3.5_turbo,1.5,0.7531094015351844,0.5231860555536066
115,3,sap,True,yes,gpt_4,1.5,0.8522836033846629,0.4514592192324875
122,,,,,Human,,,1.2316947580936608
